GeneMark.hmm PROKARYOTIC (Version 3.40)
Date: Mon Nov 18 09:11:47 2019
Sequence file name: sequence
Model file name: itr_8.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: empty-fasta-def-line
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +           1        1524         1524        1
    2        +        2412        3260          849        1
    3        +        3847        4437          591        1
    4        +        4599        4997          399        1
    5        +        5174        7267         2094        1
    6        +        7302        9818         2517        1
    7        +        9984       10160          177        1
    8        +       10190       10828          639        1
    9        -       11555       11692          138        1
   10        -       11874       12311          438        1
   11        +       12468       13016          549        1
   12        -       13133       13447          315        1
   13        -       13714       13998          285        1
   14        +       14179       14877          699        1
   15        +       14914       15612          699        1
   16        -       15590       17470         1881        1
   17        -       17467       18744         1278        1
   18        -       18759       20234         1476        1
   19        -       20231       21640         1410        1
   20        -       21637       23172         1536        1
   21        -       23270       23737          468        1
   22        -       23861       25444         1584        1
   23        -       25913       26854          942        1
   24        -       27023       27442          420        1
   25        +       27595       28365          771        1
   26        +       28362       29207          846        1
   27        +       29245       29607          363        1
   28        +       29740       31068         1329        1
   29        +       31207       31506          300        1
   30        +       31514       31819          306        1
   31        -       31824       31967          144        1
   32        +       32336       33154          819        1
   33        +       33224       33553          330        1
   34        +       34295       36610         2316        1
   35        +       36607       36870          264        1
   36        +       36867       37262          396        1
   37        +       37259       38947         1689        1
   38        -       39056       39835          780        1
   39        -       39877       41127         1251        1
   40        +       41304       41912          609        1
   41        -       42004       42351          348        1
   42        -       42433       43365          933        1
   43        +       43595       46471         2877        1
   44        -       46581       47084          504        1
   45        -       47366       48100          735        1
   46        -       48233       49027          795        1
   47        -       49043       49939          897        1
   48        -       50021       51124         1104        1
   49        -       51185       51727          543        1
   50        -       51828       52697          870        1
   51        +       52831       53244          414        1
   52        +       53354       55699         2346        1
   53        +       55696       57378         1683        1
   54        +       57335       57973          639        1
   55        +       58192       58482          291        1
   56        +       58586       59080          495        1
   57        +       59122       59376          255        1
   58        +       59409       59867          459        1
   59        +       60426       63020         2595        1
   60        +       63200       63892          693        1
   61        +       63909       64967         1059        1
   62        +       65771       66694          924        1
   63        +       66923       68362         1440        1
   64        +       68424       68579          156        1
   65        +       68620       71559         2940        1
   66        +       71589       71828          240        1
   67        +       71821       72222          402        1
   68        -       72274       74511         2238        1
   69        -       74629       75177          549        1
   70        +       75301       76212          912        1
   71        -       76237       77622         1386        1
   72        -       77619       78896         1278        1
   73        +       79486       80193          708        1
   74        -       80425       80550          126        1
   75        +       80624       81673         1050        1
   76        +       81676       82668          993        1
   77        +       82814       83983         1170        1
   78        +       83996       85168         1173        1
   79        -       85183       85407          225        1
   80        -       85636       86394          759        1
   81        +       86528       87133          606        1
   82        -       87208       87801          594        1
   83        +       88204       89025          822        1
   84        +       89022       89480          459        1
   85        +       89575       89919          345        1
   86        +       89924       90403          480        1
   87        +       90400       92322         1923        1
   88        +       92319       93278          960        1
   89        +       93289       93951          663        1
   90        +       93951       95417         1467        1
   91        +       95417       96892         1476        1
   92        +       97170       97601          432        1
   93        +       97758       98351          594        1
   94        +       98480       99250          771        1
   95        +       99684      100451          768        1
   96        +      100718      102868         2151        1
   97        -      102815      103525          711        1
   98        -      103710      104669          960        1
   99        +      104713      104808           96        1
  100        -      104805      105101          297        1
  101        +      105447      106715         1269        1
  102        +      106734      107603          870        1
  103        +      107600      108151          552        1
  104        +      108201      109778         1578        1
  105        +      109771      110019          249        1
  106        +      110049      117539         7491        1
  107        +      117777      119699         1923        1
  108        -      119915      122158         2244        1
