# GeneMark.hmm-2 LST format
# GeneMark.hmm-2 prokaryotic version: 1.06
# File with sequence: tmpseq.fna
# File with native parameters: itr_1.mod
# File with MetaGeneMark parameters: /home/karl/repos/repos-gms2/bin/mgm_11.mod
#
# translation table: 11
# output date start: Sun Oct 28 17:19:54 2018

# sequence-region 1 4411532
SequenceID: anydef
     1   +   <1    1524    1524 nativebacarc native
     2   +    2088    3260    1173 nativebacarc  0 3 native
     3   +    3622    4437     816 nativebacarc  0 3 native
     4   +    4434    4997     564 nativebac  0 3 native
     5   +    5207    7267    2061 nativebacarc  0 3 native
     6   +    7302    9818    2517 nativebacarc  0 3 native
     7   +    9969    10160     192 native  0 3 native
     8   +    10484    10828     345 nativebacarc  0 3 native
     9   +    11225    11416     192 native  0 3 native
    10   -    11555    11692     138 native  0 3 native
    11   -    11874    12311     438 nativebac  0 3 native
    12   +    12486    13016     531 nativebacarc  0 3 native
    13   -    13133    13477     345 nativebac  0 3 native
    14   -    13714    13995     282 nativebac  0 3 native
    15   +    14179    14877     699 nativebacarc  0 3 native
    16   +    14914    15612     699 nativebacarc  0 3 native
    17   -    15590    17470    1881 nativebacarc  0 3 native
    18   -    17467    18762    1296 nativebacarc  0 3 native
    19   -    18759    20234    1476 nativebacarc  0 3 native
    20   -    20231    21640    1410 nativebacarc  0 3 native
    21   -    21637    23181    1545 nativebacarc  0 3 native
    22   -    23270    23737     468 nativebacarc  0 3 native
    23   -    23861    24979    1119 nativebac  0 3 native
    24   +    25238    25543     306 bac  0 3 atypical
    25   -    25913    26854     942 nativebacarc  0 3 native
    26   -    27023    27442     420 nativebac  0 3 native
    27   +    27595    28365     771 nativebacarc  0 3 atypical
    28   +    28362    29207     846 nativebac  0 3 native
    29   +    29245    29607     363 nativebacarc  0 3 native
    30   +    29740    31068    1329 nativebacarc  0 3 native
    31   +    31189    31506     318 nativebac  0 3 native
    32   +    31514    31819     306 nativebacarc  0 3 atypical
    33   -    31824    31967     144 nativebac  0 3 native
    34   +    32300    33154     855 nativebacarc  0 3 native
    35   +    33302    33553     252 nativebacarc  0 3 atypical
    36   +    34295    36610    2316 nativebacarc  0 3 native
    37   +    36607    36870     264 nativebacarc  0 3 atypical
    38   +    36867    37262     396 nativebacarc  0 3 native
    39   +    37259    38947    1689 nativebacarc  0 3 native
    40   -    39056    39829     774 nativebacarc  0 3 native
    41   -    39877    41163    1287 nativebacarc  0 3 native
    42   +    41304    41912     609 nativebacarc  0 3 native
    43   -    42004    42351     348 nativebac  0 3 native
    44   -    42433    43365     933 nativebacarc  0 3 native
    45   +    43562    46471    2910 nativebacarc  0 3 native
    46   -    46581    47084     504 nativebac  0 3 native
    47   -    47366    48100     735 nativebacarc  0 3 native
    48   -    48233    49027     795 nativebacarc  0 3 native
    49   -    49043    49939     897 nativebacarc  0 3 native
    50   -    50021    51124    1104 nativebacarc  0 3 native
    51   -    51185    51727     543 nativebacarc  0 3 native
    52   -    51828    52697     870 nativebacarc  0 3 native
    53   +    52831    53244     414 nativebac  0 3 native
    54   +    53354    55699    2346 nativebacarc  0 3 native
    55   +    55696    57378    1683 nativebacarc  0 3 native
    56   +    57335    57973     639 nativebacarc  0 3 native
    57   +    58192    58482     291 nativebacarc  0 3 native
    58   +    58586    59080     495 nativebacarc  0 3 native
    59   +    59122    59376     255 nativebacarc  0 3 atypical
    60   +    59409    59867     459 nativebacarc  0 3 native
    61   +    60396    63020    2625 nativebacarc  0 3 native
    62   +    63200    63892     693 nativebacarc  0 3 native
    63   +    63984    64967     984 nativebacarc  0 3 atypical
    64   -    65400    65687     288 bac  0 3 atypical
