GeneMark.hmm PROKARYOTIC (Version 3.40)
Date: Mon Nov 18 09:03:24 2019
Sequence file name: sequence
Model file name: itr_0.mod
RBS: false
Model information: Heuristic_model_for_genetic_code_11_and_GC_66

FASTA definition line: empty-fasta-def-line
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +           1        1524         1524        1
    2        +        2052        3260         1209        1
    3        +        3814        4437          624        1
    4        +        4722        4997          276        1
    5        +        5207        7267         2061        1
    6        +        7302        9818         2517        1
    7        +       10484       10828          345        1
    8        +       11225       11416          192        1
    9        -       11421       11528          108        1
   10        -       11555       11692          138        1
   11        -       11874       12311          438        1
   12        +       12468       13016          549        1
   13        -       13133       13492          360        1
   14        -       13714       13995          282        1
   15        +       14134       14877          744        1
   16        +       14914       15612          699        1
   17        -       15590       17470         1881        1
   18        -       17467       18762         1296        1
   19        -       18759       20234         1476        1
   20        -       20231       21640         1410        1
   21        -       21637       23181         1545        1
   22        -       23270       23737          468        1
   23        -       23861       25444         1584        1
   24        -       25913       26854          942        1
   25        -       27023       27442          420        1
   26        +       27595       28365          771        1
   27        +       28362       29207          846        1
   28        +       29245       29607          363        1
   29        +       29722       31068         1347        1
   30        +       31189       31506          318        1
   31        +       31514       31819          306        1
   32        -       31824       31967          144        1
   33        +       32279       33154          876        1
   34        +       33224       33553          330        1
   35        +       34295       36610         2316        1
   36        +       36607       36870          264        1
   37        +       36867       37262          396        1
   38        +       37259       38947         1689        1
   39        -       39056       39829          774        1
   40        -       39877       41163         1287        1
   41        +       41280       41912          633        1
   42        -       42004       42351          348        1
   43        -       42433       43365          933        1
   44        +       43595       46471         2877        1
   45        -       46581       47084          504        1
   46        -       47366       48100          735        1
   47        -       48233       49027          795        1
   48        -       49043       49939          897        1
   49        -       50021       51124         1104        1
   50        -       51185       51727          543        1
   51        -       51828       52697          870        1
   52        +       52831       53244          414        1
   53        +       53594       55699         2106        1
   54        +       55696       57378         1683        1
   55        +       57335       57973          639        1
   56        +       58192       58482          291        1
   57        +       58586       59080          495        1
   58        +       59122       59376          255        1
   59        +       59409       59867          459        1
   60        +       60396       63020         2625        1
   61        +       63200       63892          693        1
   62        +       63909       64967         1059        1
   63        +       65681       66694         1014        1
   64        +       66923       68362         1440        1
   65        +       68689       71559         2871        1
   66        +       71589       71828          240        1
   67        +       71821       72222          402        1
   68        -       72274       74511         2238        1
   69        -       74629       75141          513        1
   70        +       75301       76212          912        1
   71        -       76237       77622         1386        1
   72        -       77619       78896         1278        1
   73        +       79486       80193          708        1
   74        +       80624       81673         1050        1
   75        +       81676       82668          993        1
   76        +       82748       83983         1236        1
   77        +       83996       85168         1173        1
   78        -       85183       85572          390        1
   79        -       85636       86490          855        1
   80        +       86528       87133          606        1
   81        -       87208       87801          594        1
   82        -       87798       88004          207        1
   83        +       88342       89025          684        1
   84        +       89022       89480          459        1
   85        +       89575       89919          345        1
   86        +       89924       90403          480        1
   87        +       90400       92322         1923        1
   88        +       92328       93278          951        1
   89        +       93289       93951          663        1
   90        +       93951       95417         1467        1
   91        +       95417       96892         1476        1
   92        +       97119       97601          483        1
   93        +       97758       98351          594        1
   94        +       98480       99250          771        1
   95        +       99684      100451          768        1
   96        +      100583      102868         2286        1
   97        -      102815      103525          711        1
   98        -      103710      104669          960        1
   99        -      104805      105101          297        1
  100        +      105324      106715         1392        1
  101        +      106734      107603          870        1
  102        +      107600      108151          552        1
  103        +      108180      109778         1599        1
  104        +      109771      110019          249        1
  105        +      110049      117539         7491        1
  106        +      117777      119699         1923        1
  107        -      119915      122158         2244        1
