GeneMark.hmm PROKARYOTIC (Version 3.40)
Date: Mon Nov 18 09:03:24 2019
Sequence file name: sequence
Model file name: itr_0.mod
RBS: false
Model information: Heuristic_model_for_genetic_code_11_and_GC_51

FASTA definition line: empty-fasta-def-line
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +         337        2799         2463        1
    2        +        2801        3733          933        1
    3        +        3734        5020         1287        1
    4        +        5349        5534          186        1
    5        -        5683        6459          777        1
    6        -        6529        7959         1431        1
    7        +        8238        9191          954        1
    8        +        9306        9893          588        1
    9        -        9928       10494          567        1
   10        -       10643       11356          714        1
   11        -       11382       11786          405        1
   12        +       12163       14079         1917        1
   13        +       14168       15298         1131        1
   14        +       15445       16557         1113        1
   15        -       16751       16960          210        1
   16        +       17489       18655         1167        1
   17        +       18715       19620          906        1
   18        -       19811       20314          504        1
   19        -       20815       21078          264        1
   20        +       21407       22348          942        1
   21        +       22391       25207         2817        1
   22        +       25207       25701          495        1
   23        +       25826       26275          450        1
   24        +       26277       27227          951        1
   25        +       27293       28207          915        1
   26        +       28374       29195          822        1
   27        +       29624       30799         1176        1
   28        +       30817       34038         3222        1
   29        -       34086       34265          180        1
   30        +       34300       34695          396        1
   31        -       34781       35392          612        1
   32        -       35377       36270          894        1
   33        -       36271       37839         1569        1
   34        -       37898       39115         1218        1
   35        -       39244       40386         1143        1
   36        -       40417       41931         1515        1
   37        +       42367       43173          807        1
   38        +       43188       44129          942        1
   39        +       44180       45466         1287        1
   40        +       45463       45750          288        1
   41        +       45807       47138         1332        1
   42        +       47303       47776          474        1
   43        +       47769       49631         1863        1
   44        +       49688       50302          615        1
   45        -       50380       51222          843        1
   46        +       51232       51546          315        1
   47        -       51609       52430          822        1
   48        -       52427       53416          990        1
   49        -       53416       54702         1287        1
   50        -       54755       57109         2355        1
   51        +       57364       58179          816        1
   52        +       58495       59124          630        1
   53        +       59121       59279          159        1
   54        -       59687       60346          660        1
   55        -       60358       63264         2907        1
   56        -       63429       65780         2352        1
   57        -       65855       66550          696        1
   58        -       66835       68337         1503        1
   59        -       68348       70048         1701        1
   60        +       70336       71265          930        1
   61        +       71351       72115          765        1
   62        -       72229       72927          699        1
   63        -       72911       74521         1611        1
   64        -       74497       75480          984        1
   65        -       75644       77182         1539        1
   66        +       77621       78799         1179        1
   67        -       78848       79453          606        1
   68        -       79464       80864         1401        1
   69        -       80867       81958         1092        1
   70        -       81958       83529         1572        1
   71        +       84368       85312          945        1
   72        +       85546       87354         1809        1
   73        +       87357       87848          492        1
   74        +       88028       89032         1005        1
   75        +       89598       90092          495        1
   76        +       90094       91035          942        1
   77        +       91032       91397          366        1
   78        +       91413       93179         1767        1
   79        +       93238       94653         1416        1
   80        +       94650       96008         1359        1
   81        +       96002       97084         1083        1
   82        +       97087       98403         1317        1
   83        +       98403       99647         1245        1
   84        +       99644      100711         1068        1
   85        +      100765      102240         1476        1
   86        +      102233      103153          921        1
   87        +      103155      103985          831        1
   88        +      103982      105244         1263        1
   89        +      105305      106456         1152        1
   90        +      106557      107474          918        1
   91        +      107630      108217          588        1
   92        +      108279      110984         2706        1
   93        +      111044      111433          390        1
   94        -      111856      112599          744        1
   95        -      112599      113219          621        1
   96        +      113444      114487         1044        1
   97        -      114522      115724         1203        1
   98        -      115714      117099         1386        1
   99        -      117109      117549          441        1
  100        -      117752      118687          936        1
  101        +      118733      119284          552        1
  102        +      119281      120135          855        1
  103        -      120178      121551         1374        1
  104        +      122092      122856          765        1
  105        +      123017      125680         2664        1
  106        +      125695      127587         1893        1
  107        +      127879      129336         1458        1
  108        -      129407      131260         1854        1
  109        +      131588      134212         2625        1
  110        +      134340      134750          411        1
  111        -      134788      135582          795        1
  112        -      135598      136464          867        1
  113        -      136570      137088          519        1
  114        +      137083      138633         1551        1
  115        -      138835      141225         2391        1
  116        +      141419      141967          549        1
  117        -      142008      142670          663        1
  118        +      142779      143705          927        1
  119        +      143702      144472          771        1
  120        +      144577      145017          441        1
  121        +      145081      146310         1230        1
  122        -      146314      146694          381        1
  123        +      146968      147870          903        1
  124        -      147944      148741          798        1
  125        -      148807      149601          795        1
  126        -      149715      150818         1104        1
  127        -      151003      151599          597        1
  128        -      151626      152231          606        1
  129        -      152243      152854          612        1
  130        -      152829      155426         2598        1
  131        -      155461      156153          693        1
  132        -      156299      156883          585        1
  133        -      157253      157732          480        1
  134        -      157729      159093         1365        1
  135        -      159186      160112          927        1
  136        -      160149      160604          456        1
  137        -      160782      161486          705        1
  138        -      161501      162031          531        1
  139        +      162060      164534         2475        1
  140        +      164537      164743          207        1
  141        +      164730      167264         2535        1
  142        -      167329      167463          135        1
  143        +      167484      169727         2244        1
  144        +      169778      170575          798        1
  145        +      170575      171465          891        1
  146        +      171462      173444         1983        1
  147        -      173602      174882         1281        1
  148        +      175107      176528         1422        1
  149        +      176610      176954          345        1
  150        -      177001      177624          624        1
  151        -      177662      178462          801        1
  152        -      178455      179153          699        1
  153        +      179237      180754         1518        1
  154        +      180884      182308         1425        1
  155        +      182463      183620         1158        1
  156        -      183709      184095          387        1
  157        -      184257      185069          813        1
  158        -      185123      185947          825        1
  159        -      185978      188650         2673        1
  160        -      188712      189506          795        1
  161        -      189506      189727          222        1
  162        +      189874      190599          726        1
  163        +      190857      191708          852        1
  164        +      191855      192580          726        1
  165        +      192872      193429          558        1
  166        +      193521      194717         1197        1
  167        +      194906      195664          759        1
  168        +      195677      196534          858        1
  169        +      196546      197898         1353        1
  170        +      197928      200360         2433        1
  171        +      200482      200967          486        1
  172        +      200971      201996         1026        1
  173        +      202101      202556          456        1
  174        +      202560      203348          789        1
  175        +      203348      204496         1149        1
  176        +      204493      205089          597        1
  177        +      205174      208608         3435        1
  178        +      208621      209580          960        1
  179        +      209679      211820         2142        1
  180        +      211877      212266          390        1
  181        +      212331      213629         1299        1
  182        -      213678      213932          255        1
  183        -      213925      214143          219        1
  184        +      214291      214836          546        1
  185        +      214833      215255          423        1
  186        +      215269      215979          711        1
  187        -      216179      217057          879        1
  188        -      217057      218775         1719        1
  189        -      218887      219594          708        1
  190        -      219591      219944          354        1
  191        -      220113      220928          816        1
  192        -      220968      221621          654        1
  193        -      221614      222645         1032        1
  194        +      222833      223408          576        1
  195        +      229167      229970          804        1
  196        -      229967      230881          915        1
  197        +      231143      231922          780        1
  198        +      231926      232549          624        1
  199        -      232597      233955         1359        1
  200        -      234027      234782          756        1
  201        +      234816      235538          723        1
  202        -      235535      236074          540        1
  203        +      236058      236798          741        1
  204        +      237335      238120          786        1
  205        -      238257      238736          480        1
  206        -      238746      239084          339        1
  207        +      239154      239378          225        1
  208        -      239419      240189          771        1
  209        +      240343      240816          474        1
  210        -      240859      243303         2445        1
  211        +      243525      244121          597        1
  212        +      244327      245094          768        1
  213        -      245065      245805          741        1
  214        -      245961      246239          279        1
  215        -      246242      246502          261        1
  216        +      246835      247461          627        1
  217        +      247637      248134          498        1
  218        -      248358      250067         1710        1
  219        +      250057      250827          771        1
  220        +      250898      251953         1056        1
  221        +      252005      252298          294        1
  222        +      252301      252699          399        1
  223        +      252709      253161          453        1
  224        +      253666      254202          537        1
  225        -      254259      255716         1458        1
  226        +      255977      256435          459        1
  227        +      256527      257771         1245        1
  228        -      257923      258426          504        1
  229        +      258776      259006          231        1
  230        -      259045      260106         1062        1
  231        +      260301      261491         1191        1
  232        +      261503      262756         1254        1
  233        -      263328      263669          342        1
  234        +      263792      264286          495        1
  235        +      264289      264714          426        1
  236        -      264748      265371          624        1
  237        -      265620      266060          441        1
  238        -      266110      266553          444        1
  239        -      266553      266729          177        1
  240        +      266746      266922          177        1
  241        -      267184      268020          837        1
  242        -      268097      268960          864        1
  243        -      269289      270182          894        1
  244        +      270278      270646          369        1
  245        +      270720      271754         1035        1
  246        -      271923      272216          294        1
  247        +      272862      273992         1131        1
  248        -      274101      275117         1017        1
  249        +      275301      276728         1428        1
  250        +      276715      277647          933        1
  251        -      277756      278814         1059        1
  252        -      278814      279176          363        1
  253        -      279178      279681          504        1
  254        -      280024      280362          339        1
  255        -      280385      280762          378        1
  256        -      280829      281983         1155        1
  257        +      282257      283186          930        1
  258        +      283201      285168         1968        1
  259        +      285395      286777         1383        1
  260        +      286789      288399         1611        1
  261        -      288404      289162          759        1
  262        -      289301      290305         1005        1
  263        +      290405      290638          234        1
  264        -      290649      291152          504        1
  265        +      291500      292231          732        1
  266        -      292322      292948          627        1
  267        -      293220      293840          621        1
  268        -      293945      294799          855        1
  269        -      295139      295471          333        1
  270        -      295696      297096         1401        1
  271        -      297381      297791          411        1
  272        -      297770      298726          957        1
  273        -      298736      300934         2199        1
  274        -      300931      301887          957        1
  275        -      301884      302573          690        1
  276        +      302991      303605          615        1
  277        +      303679      303858          180        1
  278        -      304495      305151          657        1
  279        -      305174      306817         1644        1
  280        -      306807      309332         2526        1
  281        -      309358      310026          669        1
  282        -      310084      310671          588        1
  283        -      310746      311288          543        1
  284        +      312112      312339          228        1
  285        -      312514      312780          267        1
  286        +      314483      315244          762        1
  287        +      315291      315590          300        1
  288        +      315587      316453          867        1
  289        -      316450      317169          720        1
  290        -      317726      318328          603        1
  291        -      318676      320028         1353        1
  292        +      320227      321081          855        1
  293        +      321659      322327          669        1
  294        +      322338      323765         1428        1
  295        +      323758      324453          696        1
  296        -      324696      325364          669        1
  297        -      325577      327247         1671        1
  298        -      327261      328724         1464        1
  299        -      328747      329352          606        1
  300        +      329463      331496         2034        1
  301        +      332371      333459         1089        1
  302        -      333501      334433          933        1
  303        -      334525      335022          498        1
  304        +      335280      335885          606        1
  305        +      335925      336788          864        1
  306        +      336778      338325         1548        1
  307        +      338325      339743         1419        1
  308        +      339793      340089          297        1
  309        +      340165      341115          951        1
  310        +      341125      342507         1383        1
  311        +      342884      343933         1050        1
  312        +      344176      344991          816        1
  313        +      345404      345649          246        1
  314        -      345666      346337          672        1
  315        +      346484      346759          276        1
  316        -      346857      348443         1587        1
  317        +      348682      349572          891        1
  318        +      350012      351181         1170        1
  319        +      351215      352666         1452        1
  320        +      352706      354592         1887        1
  321        +      354922      356181         1260        1
  322        +      356156      357454         1299        1
  323        -      357791      358774          984        1
  324        +      358799      359458          660        1
  325        +      359489      359959          471        1
  326        +      359965      361146         1182        1
  327        -      361249      361854          606        1
  328        -      361926      363179         1254        1
  329        -      363231      366305         3075        1
  330        -      366428      367519         1092        1
  331        -      367587      368534          948        1
  332        +      368611      370275         1665        1
  333        +      370277      371221          945        1
  334        +      371224      372105          882        1
  335        +      372109      372924          816        1
  336        +      372921      373871          951        1
  337        +      373868      374881         1014        1
  338        +      375498      376670         1173        1
  339        +      376772      377311          540        1
  340        -      377535      378368          834        1
  341        -      378462      379571         1110        1
  342        -      379606      379902          297        1
  343        -      380069      380842          774        1
  344        +      381306      381716          411        1
  345        +      381788      382579          792        1
  346        -      382739      383935         1197        1
  347        -      384059      384616          558        1
  348        +      385175      386194         1020        1
  349        +      386207      386974          768        1
  350        +      386971      387798          828        1
  351        +      387795      388646          852        1
  352        -      388753      389760         1008        1
  353        -      389897      390148          252        1
  354        +      390251      391711         1461        1
  355        -      391739      392605          867        1
  356        -      392602      392901          300        1
  357        +      393015      394418         1404        1
  358        +      394461      395129          669        1
  359        -      395130      396260         1131        1
  360        +      396639      397859         1221        1
  361        +      397872      398966         1095        1
  362        -      399025      399333          309        1
  363        +      399524      399805          282        1
  364        -      399829      400923         1095        1
  365        +      401386      401646          261        1
  366        +      401822      403162         1341        1
  367        +      403263      403601          339        1
  368        +      403703      404818         1116        1
  369        -      404835      405644          810        1
  370        +      405644      406222          579        1
  371        +      406405      406929          525        1
  372        +      406979      407170          192        1
  373        +      407428      408105          678        1
  374        +      408177      408461          285        1
  375        -      408452      408568          117        1
  376        -      409108      410058          951        1
  377        +      410057      411052          996        1
  378        -      411297      412481         1185        1
  379        -      412607      415753         3147        1
  380        -      415750      416976         1227        1
  381        +      417142      417831          690        1
  382        +      417889      419184         1296        1
  383        +      419591      420910         1320        1
  384        +      420986      422359         1374        1
  385        +      422515      424332         1818        1
  386        -      424337      424918          582        1
  387        +      425011      426081         1071        1
  388        +      426137      427264         1128        1
  389        +      427287      427619          333        1
  390        +      427680      429494         1815        1
  391        +      429460      430476         1017        1
  392        +      430605      430952          348        1
  393        -      431129      432013          885        1
  394        -      432312      432851          540        1
  395        +      433002      433451          450        1
  396        +      433455      434558         1104        1
  397        +      434647      435117          471        1
  398        +      435137      435556          420        1
  399        +      435634      436611          978        1
  400        +      436589      437107          519        1
  401        -      437161      438075          915        1
  402        -      438315      440177         1863        1
  403        -      440202      441101          900        1
  404        -      441101      441343          243        1
  405        +      441549      442997         1449        1
  406        -      443051      443641          591        1
  407        -      443604      444515          912        1
  408        +      444665      445174          510        1
  409        -      445302      446666         1365        1
  410        -      446815      447705          891        1
  411        -      447717      448046          330        1
  412        -      448046      448660          615        1
  413        -      448650      450641         1992        1
  414        -      450663      451610          948        1
  415        -      452070      453545         1476        1
  416        -      453589      454167          579        1
  417        -      454502      454642          141        1
  418        -      454708      454899          192        1
  419        +      455133      456431         1299        1
  420        +      456716      457300          585        1
  421        +      457426      458700         1275        1
  422        +      458888      461242         2355        1
  423        +      461451      461723          273        1
  424        +      461915      463786         1872        1
  425        +      463937      464308          372        1
  426        +      464402      464800          399        1
  427        -      464852      465547          696        1
  428        -      465612      467312         1701        1
  429        +      467400      468230          831        1
  430        +      468296      468841          546        1
  431        +      468958      470643         1686        1
  432        +      470636      472417         1782        1
  433        +      472598      472936          339        1
  434        +      472966      474252         1287        1
  435        -      474301      475161          861        1
  436        +      475379      475951          573        1
  437        -      475982      476353          372        1
  438        +      476672      477025          354        1
  439        -      477067      478623         1557        1
  440        -      478781      479251          471        1
  441        -      479367      479918          552        1
  442        -      480090      480308          219        1
  443        -      480334      480708          375        1
  444        -      481254      484403         3150        1
  445        -      484426      485619         1194        1
  446        +      485761      486408          648        1
  447        +      486536      489898         3363        1
  448        -      490110      490271          162        1
  449        -      490285      490812          528        1
  450        +      490882      491259          378        1
  451        +      491412      491963          552        1
  452        +      492092      494023         1932        1
